연도,구분,,"발생량 및
처리현황",,총계,종량제 방식에 의한 혼합배출,,,,재활용가능자원 분리배출,"음식물류
폐기물
분리배출",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,소계,가연성,불연성,"기타
(배출불명등)",소계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,시도,시군구,,,,,소계,소계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"처리
방법",매 립,204.0 ,204.0 ,0.0 ,204.0 ,0.0 ,0.0 ,0.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,소 각,164.4 ,163.9 ,163.9 ,0.0 ,0.0 ,0.0 ,0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,재활용,450.9 ,0.0 ,0.0 ,0.0 ,298.6 ,93.2 ,152.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,제주,서귀포시,발생량,,343.0 ,142.2 ,80.0 ,62.2 ,151.0 ,51.5 ,49.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"처리
방법",매 립,74.6 ,74.6 ,12.4 ,62.2 ,0.0 ,0.0 ,0.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,소 각,62.1 ,62.1 ,62.1 ,0.0 ,0.0 ,0.0 ,0.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,재활용,206.3 ,5.5 ,5.5 ,0.0 ,151.0 ,51.5 ,49.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,제주,소계,발생량,,976.2 ,429.1 ,199.6 ,229.5 ,361.5 ,60.2 ,185.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"처리
방법",매 립,249.8 ,249.8 ,20.3 ,229.5 ,0.0 ,0.0 ,0.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,소 각,179.3 ,179.3 ,179.3 ,0.0 ,0.0 ,0.0 ,0.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,재활용,547.1 ,0.0 ,0.0 ,0.0 ,361.5 ,60.2 ,185.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,제주,제주시,발생량,,657.5 ,297.0 ,131.0 ,166.0 ,214.3 ,45.8 ,146.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"처리
방법",매 립,166.0 ,166.0 ,0.0 ,166.0 ,0.0 ,0.0 ,0.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,소 각,131.0 ,131.0 ,131.0 ,0.0 ,0.0 ,0.0 ,0.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,재활용,360.5 ,0.0 ,0.0 ,0.0 ,214.3 ,45.8 ,146.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,제주,서귀포시,발생량,,318.7 ,132.1 ,68.6 ,63.5 ,147.2 ,14.4 ,39.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"처리
방법",매 립,83.8 ,83.8 ,20.3 ,63.5 ,0.0 ,0.0 ,0.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,소 각,48.3 ,48.3 ,48.3 ,0.0 ,0.0 ,0.0 ,0.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,재활용,186.6 ,0.0 ,0.0 ,0.0 ,147.2 ,14.4 ,39.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
