dt_year_month,ap_group_name,user_count,upload_bytes,download_bytes,session_time
201907,큰동네(버스),21350,5058553000,43377414014,83643118
201907,탐라도서관,7150,3122898803,14410018258,25679813
201907,판포해변(포구),4545,4317435113,14020314133,20102500
201907,표선면4,15976,13076177174,1.62211E+11,12738396
201907,하귀초등학교,1182,406223068,5391959085,3828717
201907,한라도서관,6237,1982384550,20121501674,22059194
201907,한림체육관,1280,866595359,11551102436,1594673
201907,한마음공원,3916,2389118233,17647212596,13721133
201907,항일기념관,578,31455545631,2.70643E+11,7588646
201907,효돈동2,3645,809843515,10372532832,1699426
201908,11코스,1966,1742799126,39854066786,1784685
201908,5코스,4103,4654627762,55023269533,6776149
201908,7코스,3982,10292129645,1.67381E+11,10174822
201908,9코스,842,2496330451,15430533699,1531552
201908,갓전시관,31,17378240,195081412,118350
201908,강창학경기장,6440,2409167846,60529114308,4703690
201908,거로마을,21616,2319077536,15551709207,70252797
201908,걸매생태공원,13437,9546671204,1.17258E+11,11275043
201908,교육박물관,907,1095464631,22811516763,2016185
201908,구좌읍1,3498,1593696400,14004779118,12289073
201908,그레이스호텔,1294,247688019,5797503104,4146859
201908,김정문화회관,718,4178357441,27042631915,1397598
201908,남원읍 공영주차장,3287,3384514464,25540270846,6092325
201908,노루생태관찰원,95,901961075,15757451972,799546
201908,노형동주민센터,7373,3668638504,23260883264,26851143
201908,대학동(버스),12542,9246726957,82340999250,41598501
201908,동광 R 주차장,4395,4365395481,14305241041,1810741
201908,로케디오월드,1,36881,63934,3702
201908,문화공원,7117,12423822897,1.7085E+11,11381325
201908,문화예술의 거리,21379,14907828728,1.16009E+11,71060083
201908,방림원,225,298713467,852140937,753159
201908,보건소,1754,275249875,1759534025,6055282
201908,봉개동(버스),268,373000925,4308307357,960780
201908,부영아파트(LH으뜸마을),2872,3747465792,37576680387,8947411
201908,북촌돌하르방공원,177,3071025947,92646189852,2095902
201908,빅볼랜드,364,302499687,1973613582,1280852
201908,사계 해안도로,3212,6716459775,17034884308,2978095
201908,사라봉공원,2953,5358409552,58345939442,4200046
201908,삼양1동,9663,11027029397,1.17099E+11,42306642
201908,삼양검은모래해변,4982,7788422816,38032979256,18679025
201908,삼양초등학교(남),17908,11294469740,1.07562E+11,55370818
201908,새연교,4893,36017672004,1.24049E+11,8542570
201908,생각하는정원,984,3946830347,20011640051,5734951
201908,서귀포농업기술센터,2353,5408681198,53159852641,8690121
201908,서귀포롤러스케이트장,581,1291797742,18627283665,1297512
201908,서귀포매일올레시장,30772,85033856773,1.01248E+12,72379941
201908,서귀포시궁도장,279,301741451,6621193283,599764
201908,서부두 명품회집거리,11949,37486769425,2.56398E+11,40964659
201908,서해아파트(버스),2107,2127483486,4239277503,7350945
201908,석굴암 / 천왕사 숲길,567,752203408,7304041224,2958795
201908,섭지코지,578,4301554068,12150135825,912129
201908,성산읍3,11904,8329050083,72702759087,3467364
201908,성산읍사무소,5090,8448772244,82583027408,8189109
201908,성판악휴게소,2628,9777620406,14544910720,7840728
201908,세리월드_동화속미로공원,4342,10337500129,1.03533E+11,8664237
201908,수월봉,704,7519211009,15275701140,1096446
201908,시민복지타운근린공원,1994,3330475068,52166088267,6826056
201908,아랑조을거리 공영주차장,15044,5024991662,75608248923,5474047
201908,안덕면7,7044,3749972311,36354650976,1708303
201908,영화문화예술센터,1915,65884301405,1.64209E+11,9765902
201908,용담사거리,3323,431757620,5453254820,11332729
201908,"우도- 우도봉입구,돌칸이해변",928,6554366768,68090188126,2408496
201908,우도-우도면복지회관 앞,1312,2943303582,45280977674,2877114
